sensor_id,intervalo_dt,promedio,desviacion
1.0,18:00,26.050454545454546,3.3356636767669134
1.0,18:10,22.686666666666667,3.7422096859119645
1.0,18:20,22.69363636363636,5.08927494644566
1.0,18:30,23.174090909090907,6.368965423266997
1.0,18:40,20.305909090909093,3.592759463528077
1.0,18:50,22.405652173913044,4.065524483761381
1.0,19:00,20.60909090909091,3.418562645728547
1.0,19:10,56.82409090909091,21.55222729824348
1.0,19:20,189.51272727272726,66.46328547414214
1.0,19:30,490.4085714285714,136.37919472139856
1.0,19:40,584.2836363636363,41.52016039805867
1.0,19:50,462.4019047619048,38.38881642080776
1.0,20:00,438.12695652173915,20.513894500775155
1.0,20:10,477.3931818181818,21.66403501666905
1.0,20:20,490.39714285714285,18.8999153815188
1.0,20:30,423.16318181818184,33.431462282501535
1.0,20:40,333.89428571428573,23.01175711922682
1.0,20:50,278.53000000000003,24.798683963383848
1.0,21:00,223.52761904761905,19.063635252690354
1.0,21:10,178.34545454545454,15.40506092699742
1.0,21:20,152.9218181818182,12.938656232709219
1.0,21:30,131.35727272727274,10.072093073163042
1.0,21:40,117.275,12.184241481363973
1.0,21:50,98.00565217391305,8.826148560894065
1.0,22:00,82.75260869565217,7.588505193198045
1.0,22:10,66.52238095238096,9.722498601060272
1.0,22:20,55.37260869565217,9.63677200641155
1.0,22:30,48.36000000000001,5.4126712004157
1.0,22:40,41.18272727272727,6.327996133448176
1.0,22:50,36.62090909090909,4.284033378878131
1.0,23:00,31.098571428571432,6.100609220163415
1.0,23:10,29.86714285714286,5.774208294525876
1.0,23:20,28.289545454545454,4.996838502657959
1.0,23:30,23.692272727272726,5.04827922763521
1.0,23:40,22.3,3.179210879791055
1.0,23:50,20.417727272727273,4.11123076441452
2.0,18:00,25.741818181818186,2.8182629509337938
2.0,18:10,25.715714285714284,4.147744653939742
2.0,18:20,23.30272727272727,3.2376713880991717
2.0,18:30,21.188181818181818,4.100418836172061
2.0,18:40,20.899545454545457,4.001576448009468
2.0,18:50,22.001304347826085,3.403761694932436
2.0,19:00,22.437727272727273,4.61385277678942
2.0,19:10,60.46636363636364,27.10655632261309
2.0,19:20,188.0257142857143,57.30293452969303
2.0,19:30,499.19772727272726,143.96146074662838
2.0,19:40,590.6313636363636,56.83753700097911
2.0,19:50,460.5152380952381,40.313736445416154
2.0,20:00,444.0117391304348,23.81188084896313
2.0,20:10,482.16499999999996,28.44645441962176
2.0,20:20,506.7938095238095,19.254540886811736
2.0,20:30,432.67454545454547,32.17285275733962
2.0,20:40,352.43142857142857,27.43302431116819
2.0,20:50,282.02476190476193,17.582082248427703
2.0,21:00,226.19863636363635,19.542137938178755
2.0,21:10,190.48227272727271,14.829141493892608
2.0,21:20,160.85954545454544,12.686727401678585
2.0,21:30,133.48619047619047,12.112864019789235
2.0,21:40,118.51434782608695,8.308141038155377
2.0,21:50,101.27478260869566,11.959122371860671
2.0,22:00,82.86454545454545,11.916069473123748
2.0,22:10,73.83045454545454,7.519474701303928
2.0,22:20,56.11304347826086,7.116188608813396
2.0,22:30,48.746818181818185,6.167700340416799
2.0,22:40,43.635,5.448602922724669
2.0,22:50,35.29590909090909,5.3084520738077146
2.0,23:00,34.593809523809526,3.7502246281929246
2.0,23:10,30.19190476190476,5.359480029860749
2.0,23:20,27.51090909090909,5.37276988871255
2.0,23:30,25.904090909090908,4.709087121210597
2.0,23:40,23.587272727272726,4.2365981207052945
2.0,23:50,22.38782608695652,3.6376515357648227
3.0,18:00,27.44380952380952,5.042691222145646
3.0,18:10,25.027727272727272,4.746227506254367
3.0,18:20,24.13190476190476,3.323672094307166
3.0,18:30,20.54695652173913,4.840838051771435
3.0,18:40,20.830454545454543,4.086218973309617
3.0,18:50,21.649545454545454,3.415929737864345
3.0,19:00,19.670909090909092,2.6434625725162766
3.0,19:10,64.90681818181818,31.24691137290725
3.0,19:20,190.77545454545455,60.35344600784322
3.0,19:30,518.3286363636363,147.5364757577065
3.0,19:40,637.9395454545455,55.18214570443464
3.0,19:50,492.4866666666666,27.913200342012598
3.0,20:00,467.16727272727275,25.935091539460057
3.0,20:10,514.2760869565218,30.924318282943972
3.0,20:20,530.7276190476191,26.54236310217349
3.0,20:30,439.24954545454545,36.52622990690554
3.0,20:40,369.84749999999997,34.40621514769496
3.0,20:50,297.09272727272725,19.685246634597547
3.0,21:00,232.99636363636364,18.094369170297014
3.0,21:10,194.9709090909091,17.042718011791354
3.0,21:20,165.03318181818182,15.860325279305211
3.0,21:30,141.38809523809525,13.53062955632427
3.0,21:40,120.7108695652174,9.977775719086655
3.0,21:50,102.94956521739131,11.02430928706724
3.0,22:00,84.64590909090909,11.217606764152126
3.0,22:10,72.23818181818181,11.27441208956671
3.0,22:20,57.617826086956526,7.605860752509292
3.0,22:30,49.92181818181818,6.35958566811784
3.0,22:40,46.448181818181816,6.096368658677952
3.0,22:50,35.81285714285715,6.290793386256732
3.0,23:00,32.178636363636365,4.836628396147903
3.0,23:10,30.19952380952381,4.865086305699495
3.0,23:20,26.319090909090907,4.995424486554251
3.0,23:30,25.329545454545453,4.0580143834060936
3.0,23:40,22.771818181818183,4.678077175571825
3.0,23:50,21.608260869565218,4.138484189096198
Promedio,18:00,26.396153846153847,3.840831083692896
Promedio,18:10,24.4853125,4.370573667896234
Promedio,18:20,23.36446153846154,3.967320030090066
Promedio,18:30,21.62014925373134,5.228391748943085
Promedio,18:40,20.678636363636365,3.8482946818093278
Promedio,18:50,22.024264705882356,3.603473993857507
Promedio,19:00,20.90590909090909,3.775059032558392
Promedio,19:10,60.732424242424244,26.720568859709548
Promedio,19:20,189.4596923076923,60.597532333452705
Promedio,19:30,502.8332307692308,141.04137469316066
Promedio,19:40,604.2848484848486,56.26992283743187
Promedio,19:50,471.80126984126986,38.327257860896935
Promedio,20:00,449.51279411764705,26.313840229027214
Promedio,20:10,491.62134328358206,31.64995513882227
Promedio,20:20,509.30619047619047,27.216693254417756
Promedio,20:30,431.69575757575757,34.21727620597101
Promedio,20:40,351.77080645161294,31.723620165235815
Promedio,20:50,286.1771428571429,22.054830092629274
Promedio,21:00,227.63646153846156,19.03771589099261
Promedio,21:10,187.9328787878788,17.077240253097255
Promedio,21:20,159.60484848484847,14.593799973584591
Promedio,21:30,135.3471875,12.545584876792052
Promedio,21:40,118.85632352941177,10.194500112829603
Promedio,21:50,100.74333333333334,10.72715228187013
Promedio,22:00,83.4110447761194,10.255334330251628
Promedio,22:10,70.93046153846153,9.982788693353868
Promedio,22:20,56.367826086956526,8.125899926553876
Promedio,22:30,49.00954545454545,5.938828020051453
Promedio,22:40,43.755303030303025,6.2637905013834425
Promedio,22:50,35.91138461538461,5.2860065494080315
Promedio,23:00,32.616718750000004,5.1201342537853165
Promedio,23:10,30.086190476190477,5.261245231168044
Promedio,23:20,27.37318181818182,5.110940349753776
Promedio,23:30,24.975303030303028,4.6486471877300675
Promedio,23:40,22.877611940298507,4.041186478023292
Promedio,23:50,21.48676470588235,3.9906848404815394
